taskID,xllcorner,yllcorner,xurcorner,yurcorner
1,0,0,100000,100000
2,0,100000,100000,200000
3,0,200000,100000,300000
4,0,300000,100000,400000
5,0,400000,100000,500000
6,0,500000,100000,600000
7,0,600000,100000,700000
8,0,700000,100000,800000
9,0,800000,100000,900000
10,0,900000,100000,1000000
11,0,1000000,100000,1100000
12,100000,0,200000,100000
13,100000,100000,200000,200000
14,100000,200000,200000,300000
15,100000,300000,200000,400000
16,100000,400000,200000,500000
17,100000,500000,200000,600000
18,100000,600000,200000,700000
19,100000,700000,200000,800000
20,100000,800000,200000,900000
21,100000,900000,200000,1000000
22,100000,1000000,200000,1100000
23,200000,0,300000,100000
24,200000,100000,300000,200000
25,200000,200000,300000,300000
26,200000,300000,300000,400000
27,200000,400000,300000,500000
28,200000,500000,300000,600000
29,200000,600000,300000,700000
30,200000,700000,300000,800000
31,200000,800000,300000,900000
32,200000,900000,300000,1000000
33,200000,1000000,300000,1100000
34,300000,0,400000,100000
35,300000,100000,400000,200000
36,300000,200000,400000,300000
37,300000,300000,400000,400000
38,300000,400000,400000,500000
39,300000,500000,400000,600000
40,300000,600000,400000,700000
41,300000,700000,400000,800000
42,300000,800000,400000,900000
43,300000,900000,400000,1000000
44,300000,1000000,400000,1100000
45,400000,0,500000,100000
46,400000,100000,500000,200000
47,400000,200000,500000,300000
48,400000,300000,500000,400000
49,400000,400000,500000,500000
50,400000,500000,500000,600000
51,400000,600000,500000,700000
52,400000,700000,500000,800000
53,400000,800000,500000,900000
54,400000,900000,500000,1000000
55,400000,1000000,500000,1100000
56,500000,0,600000,100000
57,500000,100000,600000,200000
58,500000,200000,600000,300000
59,500000,300000,600000,400000
60,500000,400000,600000,500000
61,500000,500000,600000,600000
62,500000,600000,600000,700000
63,500000,700000,600000,800000
64,500000,800000,600000,900000
65,500000,900000,600000,1000000
66,500000,1000000,600000,1100000
67,600000,0,700000,100000
68,600000,100000,700000,200000
69,600000,200000,700000,300000
70,600000,300000,700000,400000
71,600000,400000,700000,500000
72,600000,500000,700000,600000
73,600000,600000,700000,700000
74,600000,700000,700000,800000
75,600000,800000,700000,900000
76,600000,900000,700000,1000000
77,600000,1000000,700000,1100000
